Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965
Oman	OMN	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	49.347	49.272	49.183	49.082	48.975	48.855
Other small states	OSS	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	37.61345951	37.12289758	36.96885528	36.85399428	36.64996786	36.17725016
Pakistan	PAK	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	44.187	44.259	44.283	44.262	44.199	44.093
Panama	PAN	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	41.439	41.253	41.013	40.718	40.371	39.979
Peru	PER	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	47.198	47.046	46.836	46.556	46.196	45.746
Philippines	PHL	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	44.302	43.771	43.24	42.71	42.181	41.654
Palau	PLW	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN						
Papua New Guinea	PNG	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	42.407	42.284	42.152	42.011	41.866	41.722
Poland	POL	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	22.6	20.9	19.8	19.2	18.1	17.4
Pre-demographic dividend	PRE	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	48.14023655	48.14167338	48.14306356	48.14163034	48.13542574	48.12562014
Puerto Rico	PRI	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	32.4	31.4	31.3	31	31	30.7
"Korea, Dem. People’s Rep."	PRK	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	37.139	35.904	34.975	34.581	34.79	35.507
Portugal	PRT	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	24.1	24.4	24.5	23.5	24	23.4
Paraguay	PRY	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	41.888	41.62	41.355	41.083	40.791	40.441
West Bank and Gaza	PSE	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN						
Pacific island small states	PSS	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	45.50380397	44.80648276	44.0052879	43.12540863	42.20177153	41.2762358
Post-demographic dividend	PST	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	20.98434136	20.83750184	20.47495383	20.29630475	20.14829847	19.42256042
French Polynesia	PYF	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	41.275	40.342	39.445	38.618	37.88	37.246
